source_id,ra,ra_error,parallax,parallax_error,bp_rp,phot_g_mean_mag,dec
4174799784711199616,272.45637992903016,0.029440662,42.68392496646722,0.04169848,3.2612772,14.585703,-2.799008282954187
5550682078265062528,96.39951672881018,0.013921883,42.680331054344364,0.014942563,2.5050125,11.795434,-48.2669420298519
1821193578108774784,298.57733288745675,0.010766945,42.67890336404856,0.016207416,2.866747,13.480631,17.64211318898362
2966696643363780736,88.20660472760956,0.050626803,42.67715290698173,0.10767387,2.3869505,11.931699,-18.82953431918345
6748764545515650944,301.0298215789471,0.022681534,42.67710700710089,0.029891545,2.939848,12.9565935,-31.700071794647464
384636109728592768,2.843289573717145,0.019939901,42.676567081763835,0.029079674,0.5064955,15.220189,42.67702506909369
3810811579936440960,171.24384364690798,0.016604671,42.672765736300434,0.018880766,2.0396519,10.951304,2.474123590865434
4043777203249417728,269.9876735363506,1.0058392,42.67273678810957,1.8355983,1.5466862,19.560373,-31.945009746124835
812477352773908608,140.60609922117393,0.015240663,42.6689093654837,0.019786818,1.2367263,7.3002396,40.19945576794767
1072844970405231104,164.40068033970695,0.0103241075,42.668436375075636,0.012069999,1.7880468,9.593845,69.59687528685116
4147894082398766080,266.84864561621583,1.4673017,42.66829126718532,2.471572,,20.53789,-16.369481124575092
6719043646702291968,287.0931195182344,0.018476157,42.666478008640176,0.020561965,2.6915407,12.591324,-37.091869133041854
6481588305207220864,313.1171005958513,0.11779474,42.662953704367254,0.1568201,4.8475914,17.287996,-47.980963199262646
2881491570317649920,357.72462689108545,0.016514307,42.658716609316464,0.02388599,2.872758,12.820599,38.49170594955289
4506561028799937280,286.03406027446886,2.0580938,42.65410197282007,3.6845417,,20.518063,14.024852063801598
4048769119119681792,272.80011516572756,1.3787577,42.65371871795047,1.9098426,,19.657076,-32.248948980328436
3966121308211393920,172.93575391396502,0.035858996,42.653636906570256,0.07257588,0.7362194,6.1336365,14.363658867705013
1076298880025346560,176.95403696056042,0.017148724,42.65161428554142,0.02054802,3.3326626,14.536891,74.44480836398134
2703757302393547392,336.5635181318511,0.026655834,42.641930874095834,0.030055532,2.7548304,12.461413,3.0031336230215877
1257462971392301440,211.6509323453243,0.015944682,42.639692123030855,0.023920922,2.5501318,12.729104,24.928911341165307
6357834388848708224,336.6860782586359,0.06422614,42.63678969136171,0.077921085,5.0431767,16.7983,-75.06176238267221
3054448838181163520,113.60867243340572,0.019529643,42.634118762683194,0.025282772,1.067873,7.906273,-6.896868195480982
576949798755602560,135.29197057466232,0.2796224,42.632905490900875,0.3492072,2.532814,10.679942,1.9427029269138372
5154606546483045888,47.92840564709478,0.02106722,42.63185691544387,0.025754666,2.458747,11.736207,-15.626647646283773
4119924877428832256,266.6457851843384,1.7064692,42.63173717998157,2.1893735,1.6525707,20.206749,-19.185025743977885
748118401712712192,157.17017014848454,0.18522468,42.62773586964138,0.26036313,,12.76071,32.2397557817667
314922605759778048,16.95672268435582,0.02030172,42.626610376402766,0.02469089,2.350731,12.357573,34.21062011839555
2444078253918146944,3.4468640007588034,0.18325903,42.6265801925735,0.21875167,4.3210917,15.437779,-4.961051708073397
377003295711606400,15.785663938175054,0.19427748,42.62534342445165,0.22325002,4.538437,18.40169,45.158084285052645
3188811632992226176,62.699923089937414,0.5690853,42.62515239350901,0.7831486,,16.174385,-12.863708812067326
6470039653542791552,313.4910369178825,0.0120417075,42.62504900915086,0.01639166,3.0240974,13.590604,-55.10932971533391
770435567178890624,171.24842740747243,0.01085407,42.6234445741835,0.016355587,1.7664986,9.597291,40.003438269069676
2703757298483054848,336.5623913792414,0.043165363,42.61184024700958,0.045073133,3.5394697,14.758967,3.000124501722004
3065768550901629056,127.69309066773084,0.024303552,42.61161672467645,0.032442473,3.313179,14.49182,-4.227745036616033
2218502551448745088,331.43562055377987,0.0112603335,42.608746897575315,0.012859456,2.1405153,10.828545,65.64969504230586
3818557673713011712,169.0177442193569,0.022962244,42.60574145356308,0.027424611,2.2334528,11.850843,8.003134338168536
2218502547151457920,331.4386939993852,0.012225509,42.59693209720125,0.013930581,2.7869444,13.222262,65.64830099548733
2341178362288721536,358.692733210754,0.02387637,42.5957173003205,0.023929019,1.8953972,10.103174,-21.77394597249761
933054951834436352,121.37963288441443,0.81523603,42.594612716768935,0.9766469,3.0241299,20.009739,48.2093879975874
1669793988020855168,216.37080457068697,0.36422995,42.5930096425049,0.38483235,2.6731472,12.046838,65.697897298001
6629790584164277376,274.9176069905291,0.013143882,42.59175189006123,0.027356813,0.7330861,6.041773,-63.88778749984096
4234960284989103744,296.7109772197207,0.35414782,42.58816796576918,0.4087231,2.3838692,11.096894,-1.9611316547120963
2461043306017773696,27.395592738749468,0.09618146,42.58480732836244,0.12488641,0.4598174,4.5682287,-10.686824077584253
6069407131407996544,206.42334138677347,0.016235832,42.57584027630408,0.024504121,3.0680456,13.954251,-51.019000700086174
2256762188837557248,277.79286994604104,0.019846728,42.56995439848829,0.01881186,2.6482744,12.856721,65.40886855906112
5717361100375608960,118.40529011299678,0.013497387,42.56691316294421,0.022293499,2.6141062,12.522279,-18.96709567652282
4158470937537419008,271.0979716566396,1.6622262,42.56295650067411,2.9567387,,20.525904,-8.838555339948812
663767443044739840,127.05152834465487,0.020440057,42.56250887037893,0.02322565,2.437481,12.024804,20.136505290091097
1400929894285124224,233.54908256466612,0.012717503,42.56072328008482,0.015622839,2.6015472,12.5176115,46.32899848207075
5849857955274475520,220.43676921846208,1.7037585,42.558455899573836,3.3574364,,20.948887,-64.66916473641378
1442207244418843264,204.23061117863864,0.02619276,42.55128593696959,0.036610827,2.4167309,11.62115,22.96616864142985
3873461954734052736,150.88648273234745,0.023195468,42.54970066644951,0.023712374,2.6002169,12.0276985,5.962609690298911
3116021729853781376,106.1957751330178,0.0828308,42.54486481060359,0.09563265,4.548212,16.649475,2.969768616988124
1257273099478139008,213.47112245264134,0.018136317,42.543108767259305,0.028386196,2.48069,11.896589,24.798896152484176
6617996741403360128,328.7534119439353,0.040139027,42.54106742188578,0.0554137,0.9061947,16.278973,-27.843202986719415
5154606550778882944,47.927178089782736,0.031514645,42.53713379515685,0.040190097,3.4050684,14.7405,-15.622638913797472
1534831272173203072,187.2610461646017,0.046109322,42.53632376755093,0.077516824,2.757924,11.636573,41.72942423929911
1047559604579391872,157.69193395510402,0.009992216,42.5343537713421,0.0166411,1.3584733,8.350623,59.74981103357841
466291787445425408,46.18775080143947,0.015265231,42.533675021156675,0.025993897,2.428358,11.493313,61.732698385027234
2519736851615952256,30.858275526380908,0.026864821,42.531369559429464,0.03139322,2.6733627,12.733599,6.799741377290974
6561011974314713856,328.5116903741209,0.01312073,42.52597087498848,0.020260463,3.0829048,13.83564,-47.90031643346278
5796351145286316160,218.04375236731113,0.010796477,42.52251135149206,0.014466728,2.9819183,13.044568,-73.96055357069002
6841809067745428992,325.41744826115297,0.020613957,42.52180015281156,0.025821228,2.7898808,13.003636,-14.028981371368307
6629790584164278016,274.916808281469,0.010194324,42.51750233975555,0.016744083,2.149559,10.557519,-63.88563165674538
1699770557644460160,218.0083122066671,0.014105366,42.512421122957726,0.014597496,2.249529,10.6401205,73.82314804128912
3285714066648802816,67.07022323423755,0.03226524,42.50920933415088,0.03871602,2.7437344,12.9103,6.002297673775905
2538865845678756224,17.806005520779838,0.05298647,42.50631213785315,0.06379497,3.1225748,13.822161,3.1114835868553343
4827532078086044416,78.94722194040774,0.01546494,42.50052204209248,0.020986918,2.3073845,11.113855,-31.29481107923297
5278882357204698624,98.09463811693483,0.016563866,42.497897268370195,0.01759418,2.5154839,11.8761215,-69.95933644177155
3823729157935421952,144.01708136194304,0.025044827,42.49557179992963,0.030069713,2.7377157,12.7048435,-6.116993987523446
6512664180298450688,343.86440001278254,0.11412219,42.49279550300762,0.22143535,2.130289,10.661733,-52.303103057081984
5211871624615014400,92.09742664080875,0.010857372,42.49029453069618,0.011860295,2.7529821,13.278124,-79.08003995119408
2528728726428345216,8.043925841546262,0.069137536,42.48814029561751,0.08286962,1.3120289,17.006966,-2.899783605985309
1527631807474248448,194.8851758273367,0.4713961,42.48777135419227,0.7572948,1.1697707,8.304795,41.98756180109054
2813020961166816512,351.33436317893205,0.075340346,42.483894789910536,0.11199559,1.0856276,15.81497,14.061510482775061
6416143002299883904,299.0671114167754,0.011248153,42.48287808963333,0.017083414,1.2297568,8.079246,-72.36562556106662
1935122258524180608,347.72806568390735,0.1287953,42.48177428625515,0.2210485,3.7194653,14.470634,45.51165714604873
4573412435280434560,258.7578570009893,0.14197738,42.48084539964649,0.22191322,0.34447908,3.130809,24.83850638924531
452189348226035840,37.77062418005058,0.018896295,42.480434407054965,0.025267119,3.2616987,14.224171,52.756004233096476
1255034459444168704,218.28652816145478,0.07285195,42.472537665684136,0.11708348,4.7297354,17.280476,24.534932062042607
791297254127958784,176.7650118992601,0.0064869076,42.465780642683896,0.012703048,1.544776,9.009053,50.97132845785943
1935133906477014016,347.70810989567957,0.013109709,42.46404066124616,0.022729462,0.9028082,6.8045487,45.51099625165
5143621433184275200,33.214851720034154,0.014440761,42.46403698484342,0.018255275,1.9311562,10.3681345,-17.6858207681972
4902366110781708288,13.074148771139468,0.038040873,42.463931807095385,0.042575903,4.2431736,15.846724,-62.03118534593004
466294295706341760,46.04692580019409,0.010643172,42.45870862034461,0.020218845,0.8274455,6.483679,61.702747952450125
1825387390297688832,292.9685966068691,0.030596422,42.454992305986686,0.055994768,3.413662,13.555852,19.115168728368204
3584388909910567680,185.51686250633801,0.026341902,42.45420175468773,0.031778373,3.2305975,14.198494,-6.4883326613393475
2519736920335457280,30.884673960044616,0.017537203,42.44430246983575,0.019577483,2.8265905,13.271677,6.815853298188504
5220893151881737088,122.07794874105025,0.013719285,42.44290478861173,0.014759646,2.9701166,13.575692,-73.02679691204843
2388493745334271104,353.42261521079405,0.041828874,42.44096986889305,0.048246246,3.9187784,15.504689,-21.566219324747543
4312560959515687936,286.01234522317077,1.6709399,42.43304580234558,3.3468115,,20.46364,10.81627582048736
462185901786308992,51.634554270372746,0.011155365,42.42626692338152,0.017110115,2.7025604,12.999865,59.147707140718275
2617720998556760576,327.70062322351447,0.026861336,42.42464820079276,0.029399531,2.8427658,13.19855,-10.652795166424209
4286023322961668864,282.0479001924109,0.9645194,42.42288134690742,2.7986648,2.2187328,20.468718,6.7385760357096895
2038078706303237632,290.4686735984255,0.009510695,42.42273027062253,0.0148275,2.1167698,10.718622,28.667304918149956
1265702917689682944,223.41921808592957,0.03207456,42.42188073805897,0.058194887,1.1988173,8.345183,23.345233502185685
1606148310770764288,223.7887291314302,0.014664268,42.42150541577293,0.017330576,0.99000883,7.5484657,53.68247169367823
1278393790136075904,228.77888955306685,0.012305635,42.41917563772189,0.019579519,2.3641777,11.766737,33.299157948378685
